prescription,Denomination,simd_deprivation_group,Full Address,Latitude,Longitude,Date First Listed,practice_name,Other,Notes,Citation,-----> Repeated ,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Josephine Cowgill,M. E. C. ,W. H. M. S. ,New Orleans Louisiana USA  ,29.9510658,-90.0715323,1882-1883,F,"""Gilbert Haven"" Industrial Home",,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Joan Bentley,M. E. C. ,W. H. M. S. ,New Orleans Louisiana USA  ,29.9510658,-90.0715323,1882-1883,F,Teacher,,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),AR 5 (p. 110),,,,,,,,,,,,,,,,,,,,,,,,
Mrs. E. C. Williams,M. E. C. ,W. H. M. S. ,New Orleans Louisiana USA  ,29.9510658,-90.0715323,1882-1883,F,Deceased,,AR 2 (p. 81),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Harriet Black,M. E. C. ,W. H. M. S. ,New Orleans Louisiana USA  ,29.9510658,-90.0715323,1882-1883,F,,,AR 2 (p. 81),AR 3 (p.121),,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. S.M. Lewis,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1882-1883,F,"""Gilbert Haven"" Industrial Home, Missionary ""Haven"" Home, Superintendent",,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),AR 5 (p. 110),AR 6 (p. 110),AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12,AR 16 (p. 13),AR 17 (p. 13),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 17),AR 21 (p. 18),AR 22 (p. 21),AR 23 (p. 19),AR 24 (p. 21),AR 25 (p. 20),,,,
Miss Viola E. Baldwin,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1882-1883,F,"""Gilbert Haven"" Industrial Home, Missionary ""Haven"" Home",,AR 2 (p. 81),AR 3 (p.121),AR 4 (p. 42),AR 5 (p. 110),AR 6 (p. 110),AR 7 (p. 7),AR 8 (p. 8),AR 9 (p. 9),AR 10 (p. 9),AR 11 (p. 9),AR 12 (p. 9),AR 13 (p. 11),AR 14 (p. 12),AR 15 (p. 12,AR 16 (p. 13),AR 17 (p. 13),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 17),AR 21 (p. 18),AR 22 (p. 21),AR 23 (p. 19),,AR 25 (p. 20),AR 26 (p. 23),AR 27 (p. 25),AR 28 (p. 28),AR 29 (p. 28)
Mrs. M. L. Dunton,M. E. C. ,W. H. M. S. ,Greenville District South Carolina USA  ,34.8526176,-82.3940104,1882-1883,F,,,AR 2 (p. 81),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. M. C. Bristol,M. E. C. ,W. H. M. S. ,Nashville Tennessee USA  ,36.1626638,-86.7816016,1882-1883,F,"Closed service March, 1883",,AR 2 (p. 81),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Mary C. Wheelock,M. E. C. ,W. H. M. S. ,Salt Lake City Utah USA  ,40.7607793,-111.8910474,1882-1883,F,"Closed service June, 1883",,AR 2 (p. 81),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss R. B. Daily,M. E. C. ,W. H. M. S. ,Ogden Utah USA  ,41.223,-111.9738304,1882-1883,F,"Closed service June, 1884",,AR 2 (p. 81),,,,,,,,,,,,,,,,,,,,,,,,,,,
